ID,CAG,WA,SS,OVP,DISC,DISC EXTRA
A01782950,1,0,1,0,0,1
A01753719,1,1,1,1,0,1
A01641359,1,0,1,0,0,1
A01662242,1,0,1,0,0,1
A01742458,1,1,1,1,0,0
A01641450,1,1,1,1,0,1
A01754198,1,1,1,1,0,1
A01754271,1,1,1,1,0,1
A01641694,1,0,1,0,0,1
A01754458,0,0,1,0,0,1
A01642157,1,1,1,1,0,1
A01662022,1,0,1,0,0,1
A01709397,1,0,1,1,0,1
A01662729,1,0,1,0,0,1
A01742469,1,1,1,1,0,1
A01643406,1,1,1,0,1,1
A01563041,1,1,1,0,1,1
A01643842,1,1,1,0,1,1
A00344773,1,0,1,0,0,1
A01375748,0,0,1,0,0,1
A01610743,1,0,0,1,1,1
A01652892,0,0,1,1,0,1
A01423092,1,1,1,0,1,1
A01379409,1,0,1,1,0,1
A01653708,1,1,1,1,0,1
A01745874,0,0,1,1,0,1
A01653934,1,1,1,0,0,1
A01634164,0,0,1,0,0,1
A01025110,1,1,1,1,0,1
A01745412,1,0,1,1,0,1
A01654151,1,1,1,1,0,1
A01654220,1,0,1,1,1,1
A01654462,1,0,1,0,0,1
A01654758,1,0,1,0,0,1
A01655797,0,0,1,0,0,1
A00572153,1,1,1,1,0,1
A01655546,0,0,1,1,1,1
A01655470,0,0,1,1,0,1
A01746687,1,1,1,1,0,1
A01635402,1,1,1,0,0,1
A01656295,1,1,1,1,0,1
A01747343,1,1,1,1,0,1
A01026298,1,1,1,0,1,1
A01656974,1,1,1,0,1,1
A01368548,1,0,1,1,1,1
A01655897,1,0,1,1,0,1
A01027001,1,1,1,1,0,1
A01635817,1,0,1,0,0,1
A01656395,1,0,1,0,0,1
A01636313,1,1,1,0,1,1
A01748658,1,1,1,1,0,1
A01252794,1,1,1,0,0,1
A01748412,0,0,1,0,0,1
A01656992,1,1,1,1,0,1
A01741042,1,1,1,1,0,1
A01749027,1,1,1,0,1,1
A01657574,1,1,1,0,1,1
A01568914,1,1,1,0,1,1
A01568923,1,1,1,0,1,1
A01749524,1,1,1,0,1,1
A01749821,1,1,1,0,1,1
A01657732,1,1,1,0,1,1
A01659016,1,1,1,0,1,1
A01751565,1,1,1,1,0,1
A01639556,0,0,1,0,0,1
A01659913,0,0,1,0,0,1
A01625437,0,0,1,0,0,1
A01752817,1,1,1,1,0,1
A01640507,1,1,1,1,1,1
A01781661,1,1,1,1,0,1
A01753487,1,0,1,0,0,1
A01661077,0,0,1,1,0,1
A01661424,1,1,1,1,0,1
A01661554,1,1,1,0,1,1
A01754604,1,1,1,1,0,0
A01661712,1,1,1,1,0,1
A01661737,1,0,1,0,0,1
A01783031,1,1,1,1,0,1
A01783197,1,1,1,0,0,1
A01662495,0,0,1,0,0,1
A01709615,1,0,1,0,0,1
A01662731,1,1,1,1,1,1
A01664513,1,1,1,0,1,1
A01664948,1,1,1,0,1,1
A01643926,1,1,1,0,1,1
A00719711,1,1,1,1,0,1
A01798022,1,1,1,1,0,1
A01026235,1,1,1,1,0,1
A01566665,1,1,1,1,0,1
A01740191,1,1,1,1,0,1
A00571494,0,0,1,0,0,1
A01632826,1,1,1,1,0,1
A01379141,1,1,1,1,1,1
A00827525,0,0,1,1,0,1
A01654906,1,1,1,1,0,1
A01611550,1,1,1,1,0,1
A01654949,1,0,1,1,0,1
A01746205,1,1,1,1,0,1
A01721580,0,0,1,1,0,1
A01746337,1,1,1,0,1,1
A01566899,1,1,1,1,0,1
A01660679,1,1,1,1,0,1
A01540826,0,0,1,1,0,1
A01026229,1,0,1,1,0,1
A01746985,1,1,1,1,0,0
A01026496,1,1,1,1,0,1
A01655923,0,0,1,0,0,1
A01177785,1,1,1,0,1,1
A01704182,1,0,1,0,0,1
A01174131,1,1,1,0,1,1
A01656070,1,0,1,1,0,1
A01748841,1,1,1,1,0,1
A01656613,1,0,1,1,0,1
A01748688,1,1,1,1,0,1
A01068308,1,1,1,1,0,1
A01656988,1,0,1,1,0,1
A01750753,1,0,1,0,0,1
