MATRICULA,REQUISITO,WA,SS,OVP,DISC,DISC EXTRA
A00572342,1,1,1,1,0,0
A01704173,0,1,1,1,0,0
A01284770,1,1,1,1,0,1
A01026481,1,1,1,1,0,1
A01655928,1,1,1,1,0,1
A01570971,1,1,1,1,0,1
A01284890,1,1,1,1,0,1
A01636017,1,1,1,1,0,1
A01568763,1,1,1,1,0,1
A01570976,1,1,1,1,0,1
A01177813,1,1,1,1,0,1
A01284653,1,1,1,1,0,1
A01383322,1,1,1,1,0,1
A01635735,1,0,1,0,0,1
A01571060,1,1,1,1,0,1
A01252384,0,0,1,0,0,1
A01177784,1,1,1,1,0,0
A01198100,1,1,1,1,0,1
A01570958,1,1,1,1,0,1
A01177783,1,1,1,1,0,1
A01571004,1,0,1,1,0,1
A01114748,1,1,1,0,0,1
A01568738,1,1,1,1,0,0
A01571000,1,1,1,1,0,1
A00833882,1,1,1,1,0,1
A01656778,1,1,1,1,0,0
A00572205,1,1,1,1,0,1
A01177791,1,1,1,1,0,1
A01754610,1,1,1,1,0,1
A01198204,1,1,1,1,0,1
A01748130,1,1,1,1,0,1
A01285045,1,1,1,1,0,1
A01571214,1,1,1,1,0,1
A01540889,1,1,1,1,0,0
A01174213,1,1,1,1,1,1
A01252717,1,0,1,0,0,1
A00826538,1,1,1,1,0,1
A01284745,1,1,1,1,0,1
A01198211,1,1,1,1,0,1
A01733148,1,1,1,1,0,1
A01748464,1,1,1,1,0,1
A01748822,1,1,1,1,0,0
A01733401,1,1,1,1,0,1
A00833310,1,1,1,1,0,1
A00833630,1,1,1,1,0,1
A01721753,1,1,1,1,0,1
A01567031,1,1,1,1,0,1
A01285128,1,1,1,1,0,1
A01174252,1,1,1,1,0,1
A01742403,1,1,1,1,0,0
A00227295,1,1,1,1,0,1
A01284970,1,1,1,1,0,1
A01174259,1,1,1,1,0,1
A01412042,1,1,1,1,0,1
A01571053,1,1,1,1,0,1
A01174106,1,1,1,1,0,1
A01740804,1,1,1,1,0,1
A01174082,1,1,1,1,0,1
A00825302,0,1,1,1,0,0
A01254318,1,1,1,1,0,1
A01284899,1,1,1,1,0,1
A01026484,1,1,1,1,0,1
A01540480,1,1,1,1,0,0
A00824990,1,0,1,1,0,1
A01245753,0,1,1,1,0,0
A01742473,1,1,1,1,0,1
A00834641,1,1,1,1,0,1
A01284981,1,1,1,1,0,1
A01732639,0,1,1,1,0,0
A01284710,1,1,1,1,0,0
A01733006,1,1,1,1,0,1
A01552363,1,1,1,1,0,1
A01177942,1,1,1,1,0,1
A01722115,1,1,1,1,0,1
A01198062,1,0,1,0,0,0
A01234419,1,1,1,1,0,1
A01740792,1,1,1,1,0,1
A01571098,1,0,1,1,0,1
A01704788,0,1,1,0,0,1
A01284932,1,1,1,1,0,1
A01174122,1,1,1,1,0,1
A01198049,1,1,1,1,0,1
A01284810,1,1,1,1,0,1
A01722062,1,1,1,1,0,1
A01571077,1,1,1,1,0,0
A01177860,1,1,1,1,0,1
A01704508,1,1,1,1,0,1
A01198133,1,1,1,1,0,1
A01284914,1,1,1,1,0,1
A01656180,1,1,1,1,0,1
A01369015,1,1,1,1,0,1
A01177940,1,1,1,1,0,1
A01721968,1,1,1,1,0,1
A01721790,1,1,1,1,0,1
A01198123,1,1,1,1,0,1
A01552369,1,1,1,1,0,1
A01234442,1,1,1,1,0,1
A01285068,1,1,1,1,0,1
A01177918,1,1,1,1,0,1
A01177922,1,0,1,1,0,1
A01722126,1,1,1,1,0,1
A01198214,1,1,1,1,0,1
A01235677,1,1,1,1,0,1
A01721744,1,1,1,1,0,1
A01721955,1,1,1,1,0,1
A01275766,1,1,1,1,0,1
A01411903,1,1,1,1,0,1
A01570979,1,1,1,0,0,1
A01571040,1,1,1,1,0,1
A01571179,0,1,1,1,0,0
A01741437,1,1,1,1,0,1
A01235693,1,1,1,1,0,1
A01733408,1,1,1,1,0,1
A01027374,1,1,1,1,0,1
A00827472,0,1,1,1,0,1
A01198282,1,1,1,1,0,1
A01198288,1,0,1,1,0,1
A01285172,1,1,1,1,1,1
A00572318,1,1,1,1,0,1
A01423734,1,0,1,1,0,1
A00826604,1,1,1,1,0,1
A01284935,1,1,1,1,0,1
A01275705,1,1,1,1,0,1
A01740756,1,1,1,1,0,1
A00827303,1,1,1,1,0,1
A00829573,1,1,1,1,0,1
A01383476,1,1,1,1,0,0
A01740838,1,1,1,1,0,0
A01234423,1,1,1,1,0,0
A01284823,1,1,1,1,0,1
A01177866,1,1,1,1,0,1
A01657001,1,1,1,1,0,1
A00827728,1,1,1,1,0,1
A01026909,1,1,1,1,0,1
A01235640,1,1,1,1,0,1
A01706192,1,1,1,1,0,1
A01656478,1,1,1,1,0,1
A00573753,1,1,1,1,0,1
A01198236,1,1,1,1,1,1
A00835217,1,1,1,1,0,0
A00828541,1,0,1,1,0,1
A01769415,0,1,1,1,1,1
A00830218,1,0,1,1,0,1
A01028507,1,1,1,1,0,1
A00829212,1,1,1,1,0,1
A01028621,1,1,1,1,0,1
A00832178,1,1,1,1,0,1
A00830519,1,1,1,1,0,1
A00829849,1,1,1,1,0,1
A00830741,1,1,1,1,0,1
A00834690,0,1,1,1,0,1
A01612331,1,1,1,1,0,1
A01571426,1,1,1,1,0,1
A00835223,1,1,1,1,0,1
A00829672,1,1,1,1,0,1
A00831214,1,1,1,1,0,1
A00831695,1,1,1,1,0,1
A00831696,1,0,1,1,0,1
A01562334,1,1,1,1,0,1
A01562303,1,1,1,1,1,1
A00833390,1,1,1,1,0,1
A00830095,1,1,1,1,0,1
A00833314,1,1,1,1,0,1
A00832679,1,1,1,1,0,1
A01735834,1,1,1,1,0,0
A00832774,1,1,1,1,0,0
A00833192,1,1,1,1,0,1
A00831851,1,1,1,1,0,1
A00831778,1,1,1,1,0,1
A01742006,1,1,1,1,0,1
A01236181,1,1,1,1,0,1
A01735621,1,1,1,1,0,1
A01613545,1,1,1,1,0,1
A00833198,1,1,1,1,0,1
A00831145,1,1,1,1,0,1
A00832130,1,1,1,0,0,1
A00831838,1,1,1,1,0,1
A00832739,1,1,1,1,0,1
A00832743,1,1,1,1,0,1
A00832724,1,1,1,1,0,1
A00832753,1,1,1,1,0,1
A00833057,1,1,1,1,0,1
A00832869,1,1,1,1,0,1
A01660923,1,1,1,1,0,1
A01384607,1,1,1,1,0,1
A00834056,1,1,1,1,0,1
A00832698,1,1,1,1,0,1
A00833393,0,1,1,1,0,1
A00831747,1,1,1,1,0,1
A01562460,1,1,1,1,0,1
A00832880,0,0,1,0,0,1
A00830432,1,1,1,1,0,1
A00832796,1,1,1,0,0,1
A01412570,1,1,1,1,0,1
A00833020,1,1,1,1,0,1
A00832963,1,1,1,0,0,1
A00832801,1,1,1,1,0,1
A00832119,1,1,1,1,0,1
A00833771,1,1,1,1,0,1
A00831905,1,1,1,1,0,1
A01752550,1,1,1,1,0,1
A00831743,1,1,1,1,0,1
A01174785,1,1,1,1,0,1
A01174710,1,1,1,0,0,1
A00831746,1,1,1,1,0,1
A00833397,1,1,1,1,0,1
A00832733,1,1,1,1,0,1
A00832783,1,1,1,1,0,1
A00833312,1,1,1,1,0,1
A00831830,1,1,1,1,0,1
A00832836,1,1,1,1,0,1
A00832040,1,1,1,1,0,1
A00831254,1,1,1,1,0,1
A01424685,1,1,1,1,0,1
A00832856,1,1,1,1,0,1
A00832897,1,1,1,1,0,1
A00833204,1,1,1,1,0,1
A00833403,1,1,1,1,0,0
A00833499,1,1,1,1,0,1
A01277166,1,1,1,1,0,1
A00834705,1,1,1,1,0,1
A01735940,1,1,1,1,0,0
A00833174,1,1,1,1,0,1
A00833439,1,1,1,1,0,1
A00833704,1,1,1,0,0,1
A00833446,1,1,1,1,0,1
A00227833,1,1,1,1,0,1
A00834115,1,0,1,0,0,1
A01754601,1,1,1,1,0,1
A00832814,1,1,1,1,0,1
A00832933,0,1,1,1,0,1
A00833916,1,1,1,1,0,1
A00833497,1,1,1,1,0,0
A00833945,1,1,1,1,0,1
A00835061,1,1,1,1,0,1
A01753833,1,1,1,1,0,1
A00833150,1,1,1,1,0,1
A01384612,1,1,1,1,0,1
A00833791,1,1,1,1,0,1
A00835196,1,1,1,1,1,1
A00833083,1,1,1,1,0,1
A00833109,1,1,1,1,1,1
A01754351,1,1,1,1,0,1
A00833503,1,1,1,1,0,1
A00833256,1,1,1,1,0,1
A00833112,1,1,1,1,0,1
A01709147,1,1,1,1,0,1
A01236316,1,1,1,1,0,1
A00833125,1,1,1,1,0,1
A00833376,1,1,1,1,0,1
A00833088,1,1,1,1,0,1
A00833106,1,1,1,1,0,1
A00833911,1,1,1,1,0,1
A00833782,1,1,1,1,0,1
A01661606,1,1,1,1,0,1
A00833209,1,1,1,1,0,1
A00833927,1,1,1,1,0,1
A00833458,1,1,1,1,0,1
A00833565,1,1,1,1,0,1
A00833929,1,1,1,1,0,1
A00833524,1,0,1,1,0,1
A01384697,1,1,1,1,0,0
A00833276,1,1,1,1,0,1
A00833123,1,1,1,1,0,1
A00834526,1,1,1,1,0,1
A00833492,1,1,1,1,0,1
A01236355,1,1,1,1,0,1
A00833086,1,1,1,1,0,1
A01662195,1,1,1,1,0,1
A00834137,1,1,1,1,0,1
A00834349,1,1,1,1,0,1
A01736403,1,1,1,1,0,1
A00835023,1,1,1,1,0,1
A00834113,1,1,1,1,0,1
A00833923,1,0,1,1,0,1
A00835282,1,1,1,1,0,0
A00834753,1,1,1,1,0,1
A00833411,1,1,1,1,0,1
A00833655,1,1,1,1,0,1
A00833683,1,1,1,0,0,1
A01662073,1,1,1,1,0,1
A00833447,1,1,1,1,0,1
A00834446,1,1,1,1,0,1
A01641920,1,1,1,1,0,1
A00834782,1,0,1,1,0,1
A01541833,1,1,1,1,0,1
A01236480,0,1,1,1,0,0
A00835150,1,1,1,1,0,1
A00835385,1,1,1,1,0,0
A00834555,1,1,1,1,0,1
A00834718,1,1,1,0,0,1
A01254231,1,1,1,1,0,0
A01771127,1,1,1,1,0,0
A00834988,1,1,1,1,0,1
A00834543,1,1,1,1,0,1
A00834036,1,1,1,1,0,1
A00834562,1,1,1,1,0,1
A00835149,1,1,1,1,0,1
A01562713,1,1,1,1,0,1
A00834328,1,1,1,1,0,1
A00835225,1,1,1,1,0,1
A01754691,1,1,1,1,0,1
A00834440,1,1,1,1,0,1
A00835161,1,1,1,1,0,1
A01236457,1,1,1,1,0,1
A00834573,1,1,1,1,0,1
A01709326,1,1,1,1,0,1
A00835172,1,1,1,1,0,1
A01174871,1,1,1,1,0,1
A00834450,1,1,1,1,0,0
A01613495,1,1,1,1,0,1
A00835341,0,1,1,1,0,0
A00835287,0,1,1,1,0,1
A00835343,1,1,1,1,0,1
A01642051,1,1,1,1,0,1
A01412789,1,1,1,1,0,1
A00834640,1,0,1,1,0,1
A01284624,1,1,1,1,0,1
A01382679,0,1,1,1,1,1
A01720513,1,1,1,1,0,1
A01570300,1,0,1,1,0,1
A01620315,1,1,1,1,0,1
A01283847,1,1,1,1,0,1
A01283991,1,1,1,1,0,1
A01284731,1,1,1,1,0,1
A01653722,1,0,1,1,0,1
A01067138,0,0,1,1,1,1
A01611290,1,1,1,1,0,1
A01282942,1,1,1,1,0,1
A01568573,1,1,1,1,0,1
A00227076,1,1,1,1,0,1
A01740355,1,1,1,1,0,1
A00571794,1,1,1,1,0,1
A01284220,1,1,1,1,0,1
A01721186,1,1,1,1,0,1
A00831939,1,0,1,1,0,1
A01611542,1,1,1,1,0,1
A01570758,1,1,1,1,0,1
A01177495,1,1,1,1,0,1
A01721359,1,1,1,1,0,1
A00571909,1,1,1,1,0,1
A01284257,1,1,1,1,0,1
A01284070,1,0,1,1,0,1
A00829548,1,1,1,1,0,1
A01284254,1,1,1,1,0,1
A01246317,1,1,1,1,0,1
A00834202,1,1,1,1,0,1
A01634543,1,1,1,1,0,1
A01721557,1,1,1,1,0,1
A01411780,1,1,1,1,0,1
A01570929,1,1,1,1,0,1
A01283282,1,1,1,1,0,1
A01234450,1,1,1,1,0,1
A01281742,1,1,1,1,0,1
A01282493,1,1,1,1,0,1
A01284462,1,1,1,1,0,1
A01281247,1,0,1,1,0,1
A01174110,1,1,1,1,0,1
A01197177,1,1,1,1,0,1
A00832198,1,1,1,1,0,1
A01194771,1,1,1,1,0,1
A00829348,1,1,1,1,0,1
A01383420,1,1,1,1,0,1
A01721720,1,1,1,1,0,1
A01284928,1,1,1,1,0,1
A01570583,1,1,1,0,0,1
A01701869,1,1,1,1,0,1
A01570642,1,1,1,1,0,1
A01382965,0,1,1,1,0,1
A01721463,0,1,1,1,0,1
A01721677,1,1,1,1,0,0
A01721715,1,1,1,1,0,1
A01383422,1,1,1,1,0,1
A01571108,1,1,1,1,0,1
A01197987,1,1,1,1,0,1
A01740829,1,1,1,1,0,1
A01654146,1,1,1,1,0,1
A00831948,1,1,1,1,0,1
A01367544,1,1,1,1,0,1
A01571018,1,1,1,1,0,1
A01721665,1,1,1,1,0,0
A01177821,1,1,1,1,0,1
A01351950,1,1,1,1,0,1
A01284080,1,1,1,1,0,1
A01570739,0,0,1,1,1,1
A01173987,1,0,1,0,0,1
A01721482,1,1,1,1,0,1
A01721671,1,1,1,1,0,1
A00572259,1,1,1,1,0,1
A01284841,1,1,1,1,0,1
A01654101,0,1,1,1,0,1
A01411731,1,1,1,1,0,1
A01177899,1,1,1,1,0,1
A01234470,1,1,1,1,0,1
A01351989,1,1,1,1,0,1
A01197902,1,1,1,1,0,1
A01197922,1,1,1,1,0,1
A01571116,1,1,1,1,0,1
A01748063,1,1,1,1,0,1
A01177747,1,1,1,1,0,1
A01540442,1,1,1,1,0,1
A01721171,1,1,1,1,0,1
A01747535,1,1,1,1,0,1
A00517258,1,1,1,1,0,1
A01368290,1,1,1,1,0,1
A01177575,1,1,1,1,0,1
A01570901,1,1,1,1,0,1
A01174198,1,1,1,1,0,1
A01198014,1,1,1,1,0,1
A01284960,1,1,1,1,0,1
A01611664,1,0,1,0,0,1
A00832091,0,0,1,1,1,1
A01177675,1,1,1,1,0,1
A01174046,1,1,1,1,0,1
A01383609,1,0,1,1,0,1
A01611636,1,1,1,1,0,1
A01177960,1,1,1,1,0,1
A01351842,1,1,1,1,0,1
A01704062,1,1,1,1,0,1
A01747042,1,1,1,1,0,1
A01571079,1,1,1,1,0,1
A01571029,1,1,1,1,0,1
A01173984,1,0,1,1,0,1
A01570088,1,1,1,1,0,1
A01177703,1,1,1,1,0,0
A01383340,1,1,1,1,0,1
A01252382,1,1,1,1,0,1
A01177145,1,1,1,1,0,1
A01382574,1,1,1,1,0,1
A01383494,1,1,1,1,0,1
A01177769,1,1,1,1,0,1
A01610714,1,1,1,1,0,1
A01027008,1,1,1,1,0,1
A01620762,1,1,1,1,0,1
A00835048,1,0,1,1,0,1
A01720958,1,1,1,1,0,1
A01721905,1,1,1,1,0,1
A01721622,1,1,1,1,0,1
A01177705,1,1,1,1,0,1
A01722016,1,1,1,1,0,1
A01283317,1,1,1,1,0,1
A01570982,1,1,1,1,0,1
A01570359,1,1,1,1,0,1
A00832775,1,1,1,1,0,1
A01721990,1,1,1,1,0,1
A01177792,1,1,1,1,0,1
A01177793,1,1,1,1,0,1
A00572363,1,1,1,1,0,1
A01252650,1,1,1,1,0,0
A01733211,1,1,1,1,0,1
A01284752,1,1,1,1,0,1
A01570984,1,1,1,1,0,1
A01246374,1,1,1,1,0,1
A01197992,1,1,1,1,0,1
A01383393,1,1,1,1,0,1
A01368542,1,1,1,1,0,1
A01245679,1,1,1,1,0,1
A01383492,1,1,1,1,0,0
A01368693,1,1,1,1,0,1
A00826301,1,1,1,1,0,1
A00227372,1,1,1,1,0,1
A01722188,1,1,1,1,0,1
A01722155,1,1,1,1,0,1
A01177823,0,0,1,1,0,1
A01198059,1,1,1,1,0,1
A01284840,1,1,1,1,1,1
A01067548,1,1,1,1,0,1
A01747588,1,1,1,1,0,1
A01177800,1,1,1,1,0,1
A01174148,1,1,1,1,0,1
A01285107,0,1,1,1,0,0
A01747484,1,1,1,1,0,1
A00834600,1,1,1,1,1,1
A01735836,1,1,1,1,0,1
A00832782,1,1,1,1,0,1
A01284800,1,1,1,1,0,1
A01722033,1,1,1,1,0,1
A00833541,1,1,1,1,0,1
A01177828,1,1,1,1,0,1
A01721985,1,1,1,1,0,1
A01747961,1,1,1,1,0,1
A00834889,1,1,1,1,0,1
A01198094,1,1,1,1,0,1
A01704487,1,1,1,1,0,1
A00832894,1,1,1,1,0,1
A01721784,1,1,1,1,0,1
A00833005,1,0,1,1,0,1
A01552463,1,1,1,1,0,1
A01284790,1,1,1,1,0,1
A01284591,1,1,1,1,0,1
A01177988,1,1,1,1,0,1
A01284937,1,1,1,1,0,1
A01246378,1,1,1,1,0,1
A01177729,1,1,1,1,0,1
A01721612,1,1,1,1,0,1
A01284684,1,1,1,1,0,1
A01245663,1,1,1,1,0,1
A01721777,1,1,1,1,0,1
A01383348,1,1,1,1,0,1
A01177766,1,1,1,1,0,1
A01067426,1,1,1,1,0,0
A01284964,1,1,1,1,0,1
A00832779,1,1,1,1,0,1
A01235603,1,1,1,1,0,1
A01177930,1,1,1,1,0,1
A01275611,0,1,1,1,0,1
A01570995,1,1,1,1,0,1
A01197981,1,1,1,1,0,1
A01568828,1,1,1,1,0,1
A01721949,1,1,1,1,0,1
A01177969,1,1,1,1,0,1
A01732565,1,0,1,1,0,1
A01568832,1,1,1,1,0,1
A01411839,1,1,1,1,0,1
A01177786,1,1,1,1,0,1
A01571137,1,1,1,1,0,1
A01552373,1,1,1,0,0,1
A01732897,1,1,1,1,0,1
A01284965,1,1,1,1,0,1
A00227250,1,1,1,1,0,1
A01284794,1,1,1,1,0,1
A01571138,1,1,1,1,0,1
A01352033,1,1,1,1,0,1
A01721704,1,1,1,1,0,1
A01284666,1,1,1,0,0,1
A01177844,1,1,1,1,0,1
A01721649,1,1,1,1,0,1
A01177902,1,1,1,1,0,1
A01611890,1,1,1,1,0,1
A01655865,1,1,1,1,0,1
A01285018,1,1,1,1,0,1
A01284668,1,1,1,1,0,1
A01284995,1,1,1,0,0,1
A01722163,1,1,1,1,0,1
A01285124,1,1,1,1,0,1
A01177987,1,1,1,1,0,0
A00572350,1,1,1,1,0,1
A01198276,1,1,1,1,0,1
A01412004,0,0,1,0,0,1
A01571225,1,1,1,1,0,1
A00835329,1,1,1,1,0,1
A01722175,1,1,1,0,0,1
A01235787,1,1,1,1,0,1
A01770244,1,1,1,1,0,1
A00832802,1,1,1,1,0,1
A00833004,1,1,1,1,0,1
A00833246,1,1,1,1,0,1
A01369385,1,1,1,1,0,1
A01612078,1,1,1,1,0,1
A01174286,1,1,1,1,0,1
A00835155,1,1,1,1,0,1
A00826637,1,1,1,0,0,1
A01562861,1,1,1,1,0,1
A01177803,1,1,1,1,0,1
A01235630,1,1,1,1,0,1
A01198162,1,1,1,1,0,1
A01067412,1,1,1,1,0,1
A01177760,1,1,1,0,0,1
A01177910,1,1,1,1,0,1
A01721944,1,1,1,1,0,1
A01177835,1,1,1,1,0,1
A00834391,1,1,1,1,0,0
A01571170,1,1,1,1,0,1
A01198120,1,1,1,1,0,1
A01540857,0,1,1,1,0,1
A01178006,1,1,1,1,0,1
A00827667,1,1,1,1,0,1
A00835218,1,1,1,1,0,1
A01732887,1,1,1,1,0,1
A01177863,1,0,1,0,0,1
A01721957,1,1,1,1,0,1
A00835125,1,1,1,0,0,1
A00833309,1,1,1,1,0,1
A01540892,0,1,1,1,0,1
A01285039,1,1,1,1,0,1
A01656282,1,1,1,1,0,0
A01733363,1,1,1,1,0,1
A01571218,1,1,1,1,0,1
A01552411,0,1,1,1,0,1
A01369089,1,0,1,1,0,1
A01177986,1,1,1,1,0,1
A00833767,1,1,1,1,0,1
A00833357,1,1,1,1,0,1
A01734509,1,1,1,1,0,1
A01178277,1,1,1,1,0,1
A01412288,1,1,1,1,0,1
A01769351,0,1,1,1,0,0
A00833816,1,1,1,1,0,1
A00827797,1,1,1,1,0,1
A00829863,1,1,1,1,0,1
A01638246,1,1,1,1,0,1
A00834274,1,1,1,1,0,1
A00829628,1,1,1,1,0,1
A00829664,1,1,1,1,0,1
A00830660,1,1,1,1,0,1
A01178274,1,1,1,1,0,1
A01662203,1,1,1,1,0,1
A00829814,1,1,1,1,0,1
A00829958,1,0,1,0,0,1
A01769555,1,1,1,1,0,1
A00828445,1,1,1,1,0,1
A00830797,1,1,1,1,1,1
A01198609,1,1,1,1,0,1
A00832849,1,1,1,1,0,1
A00832859,1,1,1,1,0,1
A01735901,1,1,1,1,0,1
A00830030,1,1,1,1,0,1
A00832425,1,1,1,1,0,1
A00832709,1,1,1,1,0,0
A01412566,1,0,1,1,0,1
A00833749,1,0,1,1,0,1
A00832719,1,0,1,1,0,1
A01735766,1,1,1,1,0,0
A00832722,1,1,1,1,0,1
A00830870,1,1,1,1,0,1
A00831485,1,1,1,1,0,1
A01384428,1,1,1,1,0,1
A00832855,1,1,1,1,0,1
A00227695,1,1,1,1,0,1
A01708053,1,1,1,1,0,1
A01246742,1,1,1,1,0,1
A01174744,1,1,1,1,0,1
A00832896,1,0,1,1,0,1
A00834147,1,1,1,1,0,1
A01412542,1,1,1,1,0,1
A00832693,1,1,1,1,0,1
A00834159,1,1,1,1,0,1
A00832913,1,1,1,1,0,1
A00830764,1,1,1,1,0,1
A00832769,1,1,1,1,0,0
A01661083,1,1,1,1,0,1
A00833021,1,1,1,1,0,1
A00833223,1,1,1,1,0,1
A00833018,1,1,1,1,0,1
A00830973,1,1,1,1,0,1
A01708605,1,1,1,1,0,1
A01708461,0,1,1,1,0,1
A00832829,1,1,1,1,0,1
A00833423,1,1,1,1,0,1
A00833504,1,1,1,1,0,1
A01254129,1,1,1,1,0,1
A00831337,1,1,1,1,0,1
A00833790,1,1,1,1,0,1
A00833530,1,1,1,1,0,0
A01736009,1,1,1,1,0,1
A00833952,1,1,1,1,0,1
A00833331,1,1,1,1,0,1
A00833118,1,1,1,0,0,1
A00833918,1,1,1,1,0,1
A00833292,1,1,1,1,0,1
A00833637,1,1,1,1,0,1
A01562648,1,1,1,1,0,1
A01412726,1,1,1,1,0,1
A00833252,1,1,1,1,0,1
A00834306,1,1,1,1,0,1
A01562623,1,1,1,1,0,1
A00833693,1,1,1,1,0,1
A00833610,1,1,1,1,0,1
A01661088,1,1,1,1,0,1
A01277278,1,1,1,1,0,1
A01735690,1,1,1,1,0,1
A00832228,1,1,1,1,0,1
A00833642,1,1,1,1,0,1
A01236324,1,1,1,1,0,1
A00832804,1,1,1,1,0,1
A00835216,1,1,1,1,0,1
A01236301,1,1,1,1,0,1
A01412654,1,1,1,1,0,1
A00833930,0,0,1,1,0,1
A01412614,1,1,1,1,0,1
A01254024,1,1,1,1,0,0
A00832172,1,1,1,1,0,1
A00833115,1,1,1,1,0,1
A01736133,1,1,1,1,0,1
A01736103,1,1,1,1,0,1
A00834297,1,1,1,1,0,1
A00833226,1,1,1,1,0,0
A00833502,1,1,1,1,0,1
A00832144,1,1,1,1,0,1
A00832428,1,1,1,1,0,1
A01246752,1,1,1,1,0,1
A00833775,1,1,1,1,0,1
A00833124,1,1,1,1,1,0
A00833699,1,1,1,1,0,1
A00832613,1,1,1,1,0,1
A00833111,1,1,1,1,0,1
A00832961,1,1,1,1,0,1
A00832926,1,1,1,1,0,1
A00833337,1,1,1,1,0,1
A01174755,1,1,1,1,0,1
A00834799,1,1,1,1,0,1
A00833647,1,1,1,1,0,0
A00833621,1,1,1,0,0,1
A00833364,1,1,1,1,0,1
A00833495,1,1,1,1,0,1
A01613323,1,1,1,1,0,1
A00835276,1,1,1,1,0,1
A00833122,1,1,1,1,0,1
A01254067,1,1,1,1,0,1
A00833214,1,1,1,1,0,1
A01642110,1,1,1,1,0,1
A00833039,0,0,1,0,0,1
A00833702,1,1,1,1,0,1
A00833570,1,1,1,1,0,1
A00834123,1,1,1,1,0,1
A01742328,1,1,1,1,0,1
A00833070,1,1,1,1,0,1
A00833208,1,1,1,1,0,1
A00834404,1,1,1,1,0,1
A01661962,0,1,1,1,0,1
A01384749,1,1,1,1,0,1
A01642179,1,1,1,1,0,1
A00835342,1,1,1,1,0,1
A00835350,1,1,1,1,0,1
A01625566,1,1,1,1,0,1
A00833089,1,1,1,1,0,0
A00833536,1,1,1,1,0,1
A01625545,1,1,1,1,0,1
A00835111,1,1,1,1,0,1
A00835264,1,1,1,1,0,1
A00834558,1,1,1,1,0,1
A00834770,1,1,1,1,0,1
A00835211,1,1,1,1,0,1
A00833110,1,1,1,1,0,1
A00835090,1,1,1,1,0,1
A00835318,1,1,1,1,0,1
A00834352,1,1,1,1,0,1
A00834785,1,1,1,1,0,1
A00835140,1,1,1,1,0,1
A00834407,1,1,1,1,0,1
A00833795,1,1,1,1,0,1
A00573695,1,1,1,1,0,1
A00835179,1,1,1,0,0,1
A01236502,1,1,1,1,0,1
A00835411,1,1,1,1,0,1
A00834768,1,1,1,1,0,0
A01246774,1,1,1,1,0,1
A00835042,1,1,1,1,0,1
A00573752,0,1,1,1,0,1
A00835238,1,1,1,1,0,1
A00834703,1,1,1,1,0,1
A00834542,1,0,1,1,0,1
A00834655,1,1,1,1,0,1
A00835436,1,1,1,1,0,1
A00835068,1,1,1,1,0,1
A00834327,1,1,1,1,0,1
A00835447,1,1,1,1,0,1
A01384683,1,1,1,1,0,1
A00834863,1,1,1,0,0,1
A00835388,1,1,1,1,0,1
A00834541,1,1,1,1,0,1
A00834710,1,1,1,1,0,1
A01736368,1,1,1,1,0,1
A00834912,1,1,1,1,0,1
A00834427,1,1,1,1,0,0
A01236425,1,1,1,1,0,1
A01736594,1,1,1,1,0,1
A01562820,1,0,1,1,0,1
A00835266,1,1,1,1,0,1
A00835214,1,1,1,1,0,1
A01284340,1,1,1,1,0,1
A01283994,1,1,1,1,0,1
A01194828,1,1,1,1,0,1
A01568442,1,0,1,1,0,1
A01720813,1,1,1,1,0,1
A01722113,1,1,1,1,0,1
A01284203,1,1,1,1,0,1
A01721456,1,1,1,1,0,1
A01275535,1,1,1,1,0,1
A01620124,1,1,1,1,0,1
A01283245,1,1,1,1,0,1
A01235086,0,1,1,0,1,1
A01173875,1,1,1,1,0,1
A00571851,1,0,1,1,0,1
A01382977,1,1,1,1,0,1
A01067172,0,1,1,1,0,1
A01197653,1,1,1,1,0,1
A01284543,1,1,1,1,0,1
A01284622,1,1,1,1,0,0
A01282744,1,1,1,1,0,1
A01196968,1,1,1,1,0,1
A07013364,1,1,1,0,0,1
A01284753,1,1,1,1,0,1
A01174021,1,1,1,1,0,1
A01702654,1,1,1,1,0,1
A01351756,1,1,1,1,0,1
A01284678,1,1,1,1,0,1
A01173648,1,1,1,1,0,1
A01721721,1,1,1,1,0,1
A01747184,1,1,1,1,0,1
A00226947,1,1,1,1,0,1
A01411647,1,1,1,1,0,1
A01411491,1,1,1,1,0,1
A01720911,1,1,1,1,0,1
A01721719,0,1,1,1,1,1
A01284996,0,0,1,0,0,1
A01720894,1,1,1,0,0,1
A01284284,1,1,1,1,1,1
A01284917,1,1,1,1,0,1
A01747648,1,1,1,1,0,1
A01197708,1,1,1,1,0,1
A01722058,1,1,1,1,0,0
A01234405,1,1,1,1,0,1
A01280544,1,1,1,1,0,1
A01283195,1,1,1,1,0,1
A01284762,1,1,1,1,0,1
A01570900,1,1,1,1,0,1
A01174077,1,0,1,1,0,1
A01351833,1,1,1,1,0,1
A00831938,1,1,1,1,0,1
A01284920,1,0,1,0,0,1
A01280530,1,1,1,1,0,1
A01198277,1,1,1,1,0,1
A01732498,1,1,1,1,0,1
A00830367,1,1,1,1,0,1
A01383202,1,1,1,1,0,0
A01740816,1,1,1,1,0,1
A01282990,0,1,1,1,0,1
A01570846,0,0,1,1,0,1
A01721040,1,1,1,1,0,1
A01747038,1,1,1,1,0,1
