MATRICULA,REQUISITO,WA,SS,OVP,DISC,DISC EXTRA
A01708945,1,1,1,1,0,1
A01411857,1,1,1,1,0,1
A01705027,1,1,1,1,0,1
A01733342,1,1,1,1,0,1
A01568422,0,1,1,1,0,1
A01705198,1,1,1,1,0,1
A01703376,0,0,1,1,0,1
A01368722,1,1,1,1,0,1
A01612944,1,1,1,1,0,1
A01611857,1,1,1,1,0,0
A01740714,1,1,1,1,0,1
A01634966,1,1,1,1,0,1
A01731506,1,1,1,1,0,1
A01067546,1,1,1,1,0,1
A01704547,1,1,1,1,0,1
A01708662,1,1,1,1,0,1
A00571999,1,1,1,1,0,1
A01735515,1,1,1,1,0,1
A01735547,1,1,1,1,0,1
A01771227,1,1,1,1,0,1
A01707761,1,1,1,1,0,1
A01625570,1,1,1,1,0,1
A01254258,1,1,1,1,0,1
A01735874,1,1,1,1,0,0
A01708642,1,1,1,1,0,1
A01424917,1,1,1,1,0,1
A01771003,1,1,1,1,0,1
A01424851,1,1,1,1,0,1
A00572477,1,1,1,1,0,1
A01731089,1,1,1,1,0,1
A01611616,1,1,1,1,0,1
A01568750,1,1,1,1,0,1
A01566949,1,1,1,1,0,1
A01704728,1,1,1,1,0,1
A01424257,1,1,1,1,0,1
A01368690,1,1,1,1,0,0
A01252658,1,1,1,1,0,1
A01568542,1,0,1,1,0,1
A01703927,1,1,1,1,0,1
A01253539,1,1,1,1,0,1
A01704185,1,1,1,1,0,1
A01611793,1,1,1,1,0,1
A01611788,1,1,1,1,0,0
A01252599,1,1,1,1,0,1
A01425010,1,1,1,1,0,1
A01733180,1,1,1,1,0,1
A01707440,1,1,1,1,0,1
A01254012,1,1,1,1,0,1
A01735883,1,1,1,1,0,0
A01734900,1,1,1,1,0,1
A01733916,1,1,1,1,0,1
A01277281,1,1,1,1,0,0
A01736230,1,1,1,1,0,1
A01709660,1,1,1,1,0,1
A01703540,1,1,1,1,0,1
A01708621,1,1,1,1,0,1
A01708938,1,1,1,1,0,1
A01660983,1,1,1,1,0,1
A01236291,1,1,1,1,0,1
A01701543,1,1,1,1,0,1
A01703109,1,1,1,1,0,1
A00572493,1,1,1,1,0,1
A01736288,1,1,1,1,0,1
A01741024,1,1,1,1,0,1
A01704101,1,1,1,1,0,1
A01732656,1,1,1,1,0,1
A01252511,1,1,1,1,0,1
A01067362,0,1,1,1,0,1
A01705219,1,1,1,1,0,1
A01733255,1,1,1,1,0,0
A01425038,1,1,1,1,0,1
A01026317,1,1,1,1,0,1
A01732185,1,1,1,1,0,1
A01741023,1,1,1,1,0,1
A01252460,1,1,1,1,0,1
A01708079,1,1,1,1,0,1
A01276469,1,1,1,1,0,1
A01704212,1,1,1,1,0,1
A01368697,1,1,1,1,0,1
A00831613,1,0,1,1,0,1
A01708987,1,1,1,1,0,1
A01736238,1,1,1,1,0,1
A01708297,1,1,1,1,0,1
A01277111,1,1,1,1,0,1
A01753908,1,1,1,1,0,1
A01736089,1,1,1,1,0,1
A01753847,1,1,1,1,0,1
A01424870,1,1,1,1,0,1
A01781994,1,1,1,1,0,1
A01709059,1,1,1,1,0,1
A01736119,1,1,1,1,0,1
A01708619,1,1,1,1,0,1
A01709193,1,1,1,1,0,1
A01613300,1,1,1,1,0,0
A01708636,1,1,1,1,0,1
A01707774,1,1,1,1,0,1
A01736284,1,1,1,1,0,1
A01709429,1,1,1,1,0,1
A01709521,0,1,1,1,0,1
A01704720,1,1,1,1,0,1
A01277372,1,1,1,1,0,1
A01771197,1,1,1,1,0,1
A01368227,1,1,1,1,0,1
A01746980,1,1,1,1,0,1
A01365891,1,1,1,1,0,1
A01368611,1,1,1,1,0,0
A01369045,1,1,1,1,0,1
A01423433,1,0,1,1,0,1
A01253085,1,1,1,1,0,1
A01368670,1,1,1,1,0,1
