ID,CAG AD25 (POR CREDITOS),SERVICIO SOCIAL,DISCIPLINAR ACREDITADA,DISCIPLINARES Extra,ORIENTACION,WA,Requisito
A01741871,1,1,0,1,1,1,1
A00227718,1,1,0,1,1,1,1
A01640616,0,1,0,1,1,0,1
A00832297,1,1,0,1,1,1,1
A01661085,1,1,0,1,1,1,1
A01661495,1,1,0,1,1,0,1
A01642218,1,1,0,0,1,1,1
A01642388,1,1,0,1,1,1,1
A01636874,1,1,0,1,0,1,1
A01659884,1,1,0,1,1,1,1
A01745343,1,1,0,1,1,0,1
A01367669,0,1,0,1,1,0,1
A01656551,1,1,0,0,1,1,1
A01747188,1,1,0,0,1,1,1
A00572425,1,1,0,1,1,1,1
A01747922,1,1,0,1,1,1,1
A01661733,1,1,0,1,1,1,1
A01369249,0,1,0,1,1,0,1
A01659738,1,1,0,1,1,1,1
A01752783,0,1,0,1,1,0,1
A01783054,1,1,0,1,1,1,1
A01781791,1,1,0,1,1,0,1
A01754358,1,1,0,1,0,1,1
A01662334,1,1,0,1,1,1,1
A01662119,1,1,0,1,1,1,1
A01642167,1,1,0,1,1,1,1
A01783234,1,1,0,1,1,1,1
A01662699,1,1,0,1,1,0,1
A01653328,1,1,0,1,1,0,1
A01746377,0,1,0,1,1,0,1
A01655200,0,1,0,1,1,0,1
A07106173,1,1,0,1,1,1,1
A01661126,1,1,0,1,1,1,1
A01740723,1,1,0,1,1,1,1
A00825037,1,1,0,1,1,0,1
A01660868,1,1,0,1,0,0,1
A01641181,1,1,0,1,0,1,1
A01424732,1,1,0,1,1,1,1
A01754198,1,1,0,1,1,1,1
A01642157,1,1,0,1,1,1,1
A01709397,1,1,0,1,1,0,1
A01742469,1,1,0,1,1,1,1
A01025110,1,1,0,1,1,1,1
A01745412,1,1,0,1,1,0,1
A01656295,1,1,0,1,1,1,1
A01747343,1,1,0,1,1,1,1
A01027001,1,1,0,1,1,1,1
A01748658,1,1,0,1,1,1,1
A01656992,1,1,0,1,1,1,1
A01741042,1,1,0,1,1,1,1
A01751565,1,1,0,1,1,1,1
A01752817,1,1,0,1,1,1,1
A01781661,1,1,0,1,1,1,1
A01661077,0,1,0,1,1,0,1
A01661424,1,1,0,1,1,1,1
A01783031,1,1,0,1,1,1,1
A00719711,1,1,0,1,1,1,1
A01632826,1,1,0,1,1,1,1
A01379141,1,1,0,1,1,1,1
A00827525,0,1,0,1,1,0,1
A01654906,1,1,0,1,1,1,1
A01721580,0,1,0,1,1,0,1
A01026496,1,1,0,1,1,1,1
A01656070,1,1,0,1,1,0,1
A01748841,1,1,0,1,1,1,1
A01068308,1,1,0,1,1,1,1
A01656988,1,1,0,1,1,0,1
A01638813,1,1,0,1,1,1,1
A01659758,1,1,0,1,0,0,1
A00830189,0,1,0,1,1,0,1
A01781053,1,1,0,1,1,1,1
A01660707,1,1,0,1,1,0,1
A01753294,1,1,0,1,1,1,1
A01254066,1,1,0,1,1,1,1
A01754348,1,1,0,1,1,1,1
A01662420,1,1,0,1,1,1,1
A01736698,1,1,0,1,1,1,1
A01654983,1,1,0,1,1,0,1
A01026145,1,1,0,1,1,1,1
A01748077,1,1,0,1,1,1,1
A01769443,0,1,0,1,1,0,1
A01029189,1,1,0,1,1,1,1
A01640200,1,1,0,1,1,0,1
A01067933,1,1,0,1,1,0,1
A00834212,1,1,0,1,1,0,1
A01742438,1,1,0,1,1,1,1
A01798066,1,1,0,1,1,1,1
A01642099,1,1,0,1,0,0,1
A01754987,1,1,0,1,1,1,1
A01642323,1,1,0,1,1,1,1
A01761377,1,1,0,1,0,0,1
A01742359,1,1,0,1,1,1,1
A01651820,1,1,0,1,1,0,1
A01114881,1,1,0,1,1,1,1
A01653276,1,1,0,1,1,0,1
A01653355,1,1,0,1,1,0,1
A01633752,1,1,0,1,0,0,1
A01745869,1,1,0,1,1,1,1
A01656434,1,1,0,1,0,0,1
A01636077,1,1,0,1,1,1,1
A01636831,1,1,0,1,1,1,1
A01656980,1,1,0,1,1,1,1
A01657247,0,1,0,1,1,0,1
A01770957,1,1,0,1,0,1,1
A01753739,1,1,0,1,1,0,1
A01782752,1,1,0,1,1,1,1
A01661954,1,1,0,1,1,1,1
A01662561,1,1,0,1,1,0,1
A01754922,1,1,0,1,1,1,1
A01625626,1,1,0,1,1,1,1
A01625355,1,1,0,1,1,1,1
A01368369,0,1,0,1,1,0,1
A01745576,1,1,0,1,1,1,1
